scenario,probability,case,case_name,duration_h,start,direction,F_PHYS_MW,F_RM_MW,retained_ratio,loss_MW,baseline_window_avg_MW,base_p2a_tau_MW,base_h2_prev_kg,base_used_matching_margin_tau_MW,base_available_matching_headroom_tau_MW
1,0.145038167939,1,MONTHLY,4,511,INC,1.3829373681,1.3829373681,1.0000000000,-0.0000000000,105.9442645577,105.9442645577,19695.0832716990,5.4065740546,104.1454374969
1,0.145038167939,1,MONTHLY,4,511,DEC,103.5499840574,103.5499840574,1.0000000000,0.0000000000,105.9442645577,105.9442645577,19695.0832716990,5.4065740546,104.1454374969
1,0.145038167939,1,MONTHLY,4,517,INC,1.3829373681,1.3829373681,1.0000000000,-0.0000000000,105.9442645577,105.9442645577,20342.3700418432,5.4065740546,271.1653624969
1,0.145038167939,1,MONTHLY,4,517,DEC,103.5499840574,103.5499840574,1.0000000000,0.0000000000,105.9442645577,105.9442645577,20342.3700418432,5.4065740546,271.1653624969
1,0.145038167939,1,MONTHLY,4,523,INC,1.3829373681,1.3829373681,1.0000000000,-0.0000000000,105.9442645577,105.9442645577,20989.6568119874,5.4065740546,194.6888894969
1,0.145038167939,1,MONTHLY,4,523,DEC,103.5499840574,103.5499840574,1.0000000000,0.0000000000,105.9442645577,105.9442645577,20989.6568119874,5.4065740546,194.6888894969
1,0.145038167939,1,MONTHLY,4,673,INC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,40.5187619901,89.5359300000,26931.6992660966,4.6681037281,4.6681037281
1,0.145038167939,1,MONTHLY,4,673,DEC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,40.5187619901,89.5359300000,26931.6992660966,4.6681037281,4.6681037281
1,0.145038167939,1,MONTHLY,4,679,INC,58.8524328007,58.8524328007,1.0000000000,0.0000000000,24.8675052401,2.3942805003,21272.0567381161,2.3942805003,8.0730710000
1,0.145038167939,1,MONTHLY,4,679,DEC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,24.8675052401,2.3942805003,21272.0567381161,2.3942805003,8.0730710000
1,0.145038167939,1,MONTHLY,4,685,INC,56.8199018007,56.8199018007,1.0000000000,0.0000000000,40.1835100000,49.9087300000,16439.8737374721,3.7231992050,3.7231992050
1,0.145038167939,1,MONTHLY,4,685,DEC,26.2280724997,26.2280724997,1.0000000000,0.0000000000,40.1835100000,49.9087300000,16439.8737374721,3.7231992050,3.7231992050
1,0.145038167939,1,MONTHLY,4,691,INC,86.8855338007,86.8855338007,1.0000000000,0.0000000000,6.7564848752,19.8430980000,11920.6641811081,2.9203054324,2.9203054324
