scenario,probability,case,case_name,duration_h,direction,n_events,mean_phys_MW,mean_rm_MW,retained_ratio_of_means,mean_event_retained_ratio,mean_loss_MW,rm_zero_fraction,min_phys_MW,max_phys_MW,min_rm_MW,max_rm_MW
3,0.106870229008,1,MONTHLY,4,INC,20,15.758413445175,15.758413445175,1.0,1.0,0.0,0.0,0.2650311931,104.8873175009,0.2650311931,104.8873175009
3,0.106870229008,1,MONTHLY,12,DEC,19,45.53050092854211,45.53050092854211,1.0,1.0,0.0,0.15789473684210525,0.0,88.7029792727,0.0,88.7029792727
3,0.106870229008,1,MONTHLY,12,INC,19,1.4990578730473685,1.4990578730473685,1.0,1.0,0.0,0.05263157894736842,0.0,16.3875624976,0.0,16.3875624976
3,0.106870229008,1,MONTHLY,24,DEC,17,33.810278428082356,33.810278428082356,1.0,1.0,0.0,0.058823529411764705,0.0,54.1217875833,0.0,54.1217875833
3,0.106870229008,1,MONTHLY,24,INC,17,0.3533694677176471,0.3533694677176471,1.0,1.0,0.0,0.058823529411764705,0.0,0.6036939258,0.0,0.6036939258
3,0.106870229008,2,HOURLY,1,DEC,20,72.583417225655,72.445186301665,0.998095557783395,0.9961444058892478,0.13823092398999998,0.1,0.0,104.6678902324,0.0,104.6678902324
3,0.106870229008,2,HOURLY,1,INC,20,27.021759707944994,3.1651472812049994,0.11713327760347067,0.6680809241318706,23.856612426740003,0.1,0.2650311931,104.8873175009,0.0,28.9227659258
3,0.106870229008,2,HOURLY,4,DEC,20,65.42664988838501,62.63999085355,0.957407890521845,0.9598733829104368,2.786659034835,0.1,0.0,104.6678902324,0.0,104.6678902324
3,0.106870229008,2,HOURLY,4,INC,20,15.758413445175,1.7520392752649996,0.1111811973559717,0.7729783181215044,14.00637416991,0.1,0.2650311931,104.8873175009,0.0,14.0290624083
3,0.106870229008,2,HOURLY,12,DEC,19,45.53050092854211,39.263249446694736,0.8623504825549028,0.8598932386580381,6.267251481847368,0.15789473684210525,0.0,88.7029792727,0.0,88.5418579674
3,0.106870229008,2,HOURLY,12,INC,19,1.4990578730526314,0.31350280136315795,0.2091332209374621,0.8842206176993511,1.1855550716894736,0.15789473684210525,0.0,16.3875624977,0.0,0.6036939258
3,0.106870229008,2,HOURLY,24,DEC,17,33.81027842808823,23.636821599411768,0.6991016548321365,0.7423129434952958,10.17345682867647,0.058823529411764705,0.0,54.1217875833,0.0,45.5634716377
3,0.106870229008,2,HOURLY,24,INC,17,0.3533694677176471,0.34186545325294115,0.9674447978230593,0.9797529594942465,0.011504014464705881,0.058823529411764705,0.0,0.6036939258,0.0,0.6036939258
4,0.038167938931,1,MONTHLY,1,DEC,20,94.09307943772498,94.09307943772498,1.0,1.0,0.0,0.0,41.084359061,104.9329214255,41.084359061,104.9329214255
4,0.038167938931,1,MONTHLY,1,INC,20,10.839841987775,10.839841987775,1.0,1.0,0.0,0.55,0.0,63.8485623645,0.0,63.8485623645
4,0.038167938931,1,MONTHLY,4,DEC,20,81.78998772178998,81.78998772178998,1.0,1.0,0.0,0.0,23.828575244,104.9329214255,23.828575244,104.9329214255
4,0.038167938931,1,MONTHLY,4,INC,20,5.9775285592,5.9775285592,1.0,1.0,0.0,0.6,0.0,44.8940399258,0.0,44.8940399258
4,0.038167938931,1,MONTHLY,12,DEC,20,51.346718845024995,51.346718845024995,1.0,1.0,0.0,0.0,8.2734864245,85.4740835035,8.2734864245,85.4740835035
4,0.038167938931,1,MONTHLY,12,INC,20,0.19268196878,0.19268196878,1.0,1.0,0.0,0.6,0.0,0.5985701251,0.0,0.5985701251
4,0.038167938931,1,MONTHLY,24,DEC,20,31.133692711974994,31.133692711974994,1.0,1.0,0.0,0.1,0.0,56.4827344402,0.0,56.4827344402
4,0.038167938931,1,MONTHLY,24,INC,20,0.19268196878,0.19268196878,1.0,1.0,0.0,0.6,0.0,0.5985701251,0.0,0.5985701251
4,0.038167938931,2,HOURLY,1,DEC,20,93.74579570647998,0.3371022007850001,0.003595918070187105,0.0032278055387273976,93.40869350569497,0.25,33.3490254691,104.9329214255,0.0,0.611990879
4,0.038167938931,2,HOURLY,1,INC,20,10.388880171034998,0.149642531275,0.014404106006748922,0.22750792914985865,10.239237639759999,0.75,0.0,71.5838959564,0.0,0.5985701251
4,0.038167938931,2,HOURLY,4,DEC,20,79.879042142905,0.30126628516,0.003771531018374373,0.0035937870645291864,79.57777585774501,0.3,18.2792137874,104.9329214255,0.0,0.6019253136
4,0.038167938931,2,HOURLY,4,INC,20,5.371583354389999,0.11971402501499999,0.022286543299595653,0.37683560014112505,5.251869329374999,0.8,0.0,40.7612006279,0.0,0.5985701251
4,0.038167938931,2,HOURLY,12,DEC,20,51.96662945839999,0.270019934855,0.005196025558501051,0.005205617694249452,51.696609523545,0.35,0.0,85.4740835035,0.0,0.5996885212
4,0.038167938931,2,HOURLY,12,INC,20,0.23942805003999998,0.11971402500999999,0.4999999999582338,0.4999999999582338,0.11971402502999999,0.8,0.0,0.5985701251,0.0,0.5985701251
4,0.038167938931,2,HOURLY,24,DEC,20,30.197517697665006,0.209912799175,0.006951326306904733,0.0051250766263135445,29.98760489849,0.6,0.0,56.4827344402,0.0,0.5991293232
4,0.038167938931,2,HOURLY,24,INC,20,0.23942805003999998,0.08765144628,0.3660867900204531,0.3660867900204531,0.15177660376,0.8,0.0,0.5985701251,0.0,0.4382572314
5,0.114503816794,1,MONTHLY,1,DEC,20,97.02227953986001,97.02227953986001,1.0,1.0,0.0,0.0,87.7158567417,99.3488852394,87.7158567417,99.3488852394
5,0.114503816794,1,MONTHLY,1,INC,20,7.790927866679999,7.790927866679999,1.0,1.0,0.0,0.0,5.5840361861,16.618494589,5.5840361861,16.618494589
5,0.114503816794,1,MONTHLY,4,DEC,20,95.42578844389,95.42578844389,1.0,1.0,0.0,0.0,71.750945782,99.3488852394,71.750945782,99.3488852394
5,0.114503816794,1,MONTHLY,4,INC,20,7.79092786062,7.79092786062,1.0,1.0,0.0,0.0,5.5840361861,16.6184945587,5.5840361861,16.6184945587
5,0.114503816794,1,MONTHLY,12,DEC,20,80.13037261230502,80.13037261230502,1.0,1.0,0.0,0.0,30.8059447654,99.3488852394,30.8059447654,99.3488852394
5,0.114503816794,1,MONTHLY,12,INC,20,7.386710631175001,7.386710631175001,1.0,1.0,0.0,0.05,0.0,16.6184945587,0.0,16.6184945587
5,0.114503816794,1,MONTHLY,24,DEC,20,55.556933683075,55.556933683075,1.0,1.0,0.0,0.0,19.1878653087,81.5077387911,19.1878653087,81.5077387911
