scenario,probability,case,case_name,duration_h,start,direction,F_PHYS_MW,F_RM_MW,retained_ratio,loss_MW,baseline_window_avg_MW,base_p2a_tau_MW,base_h2_prev_kg,base_used_matching_margin_tau_MW,base_available_matching_headroom_tau_MW
1,0.145038167939,1,MONTHLY,12,679,DEC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,33.3692732712,2.3942805003,21869.4165334086,2.3942805003,7.4941000000
1,0.145038167939,1,MONTHLY,12,685,INC,61.7159918007,61.7159918007,1.0000000000,0.0000000000,20.1360248100,45.0126400000,16807.9596724935,3.5998003834,3.5998003834
1,0.145038167939,1,MONTHLY,12,685,DEC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,20.1360248100,45.0126400000,16807.9596724935,3.5998003834,3.5998003834
1,0.145038167939,1,MONTHLY,12,691,INC,3.1272639397,3.1272639397,1.0000000000,0.0000000000,33.9111801005,20.4713000000,12128.9433244291,2.9378368305,2.9378368305
1,0.145038167939,1,MONTHLY,12,691,DEC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,33.9111801005,20.4713000000,12128.9433244291,2.9378368305,2.9378368305
1,0.145038167939,1,MONTHLY,24,1,INC,15.4560019258,15.4560019258,1.0000000000,0.0000000000,91.8712000000,91.8712000000,13960.0000000000,5.0285113584,75.4298113584
1,0.145038167939,1,MONTHLY,24,1,DEC,42.0320077891,42.0320077891,1.0000000000,0.0000000000,91.8712000000,91.8712000000,13960.0000000000,5.0285113584,75.4298113584
1,0.145038167939,1,MONTHLY,24,7,INC,15.4560019258,15.4560019258,1.0000000000,0.0000000000,91.8712000000,91.8712000000,13626.6259622733,5.0285113584,115.2905113584
1,0.145038167939,1,MONTHLY,24,7,DEC,41.1942808116,41.1942808116,1.0000000000,0.0000000000,91.8712000000,91.8712000000,13626.6259622733,5.0285113584,115.2905113584
1,0.145038167939,1,MONTHLY,24,13,INC,12.5472129284,12.5472129284,1.0000000000,-0.0000000000,92.5983972494,91.8712000000,13293.2519245466,5.0285113584,104.0013313584
1,0.145038167939,1,MONTHLY,24,13,DEC,41.0837510835,41.0837510835,1.0000000000,0.0000000000,92.5983972494,91.8712000000,13293.2519245466,5.0285113584,104.0013313584
1,0.145038167939,1,MONTHLY,24,19,INC,12.5472129284,12.5472129284,1.0000000000,-0.0000000000,93.3255944987,91.8712000000,12959.8778868199,5.0285113584,142.8353113584
1,0.145038167939,1,MONTHLY,24,19,DEC,40.9732213554,40.9732213554,1.0000000000,0.0000000000,93.3255944987,91.8712000000,12959.8778868199,5.0285113584,142.8353113584
1,0.145038167939,1,MONTHLY,24,169,INC,17.7132323096,17.7132323096,1.0000000000,-0.0000000000,88.6894817260,89.6139696162,8944.2458000445,4.9786494504,22.2148798342
1,0.145038167939,1,MONTHLY,24,169,DEC,26.0002923088,26.0002923088,1.0000000000,0.0000000000,88.6894817260,89.6139696162,8944.2458000445,4.9786494504,22.2148798342
1,0.145038167939,1,MONTHLY,24,175,INC,17.7132323096,17.7132323096,1.0000000000,0.0000000000,84.9528634994,89.6139696162,8414.0483946973,4.9786494504,25.3650198342
1,0.145038167939,1,MONTHLY,24,175,DEC,20.8361020789,20.8361020789,1.0000000000,0.0000000000,84.9528634994,89.6139696162,8414.0483946973,4.9786494504,25.3650198342
