scenario,probability,case,case_name,duration_h,start,direction,F_PHYS_MW,F_RM_MW,retained_ratio,loss_MW,baseline_window_avg_MW,base_p2a_tau_MW,base_h2_prev_kg,base_used_matching_margin_tau_MW,base_available_matching_headroom_tau_MW
4,0.038167938931,2,HOURLY,4,349,DEC,104.3343513004,0.0033551884,0.0000321580,104.3309961120,106.7286318007,106.7286318007,13012.9446683188,5.0478881403,37.9002783396
4,0.038167938931,2,HOURLY,4,523,INC,26.8836879266,0.0000000000,0.0000000000,26.8836879266,77.9665914241,75.4896688491,14187.9718104924,0.0000000000,0.0000000000
4,0.038167938931,2,HOURLY,4,523,DEC,73.0953883488,0.0000000000,0.0000000000,73.0953883488,77.9665914241,75.4896688491,14187.9718104924,0.0000000000,0.0000000000
4,0.038167938931,2,HOURLY,12,1,INC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,107.3272019258,107.3272019258,13515.5000000000,5.6464582654,47.3844803396
4,0.038167938931,2,HOURLY,12,1,DEC,85.4740835035,0.5996885212,0.0070160275,84.8743949822,107.3272019258,107.3272019258,13515.5000000000,5.6464582654,47.3844803396
4,0.038167938931,2,HOURLY,12,175,INC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,107.3272019258,107.3272019258,10107.7869274093,5.6464582654,42.6452053396
4,0.038167938931,2,HOURLY,12,175,DEC,69.6312064195,0.5996885212,0.0086123529,69.0315178983,107.3272019258,107.3272019258,10107.7869274093,5.6464582654,42.6452053396
4,0.038167938931,2,HOURLY,12,349,INC,0.5985701251,0.5985701251,1.0000000000,-0.0000000000,106.7286318007,106.7286318007,13012.9446683188,5.0478881403,37.9002783396
4,0.038167938931,2,HOURLY,12,349,DEC,82.5944939213,0.0011183961,0.0000135408,82.5933755252,106.7286318007,106.7286318007,13012.9446683188,5.0478881403,37.9002783396
4,0.038167938931,2,HOURLY,12,523,INC,0.5985701251,0.0000000000,0.0000000000,0.5985701251,54.8378644684,75.4896688491,14187.9718104924,0.0000000000,0.0000000000
4,0.038167938931,2,HOURLY,12,523,DEC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,54.8378644684,75.4896688491,14187.9718104924,0.0000000000,0.0000000000
4,0.038167938931,2,HOURLY,24,1,INC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,107.3272019258,107.3272019258,13515.5000000000,5.6464582654,47.3844803396
4,0.038167938931,2,HOURLY,24,1,DEC,56.4827344402,0.5991293232,0.0106073003,55.8836051171,107.3272019258,107.3272019258,13515.5000000000,5.6464582654,47.3844803396
4,0.038167938931,2,HOURLY,24,175,INC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,107.3272019258,107.3272019258,10107.7869274093,5.6464582654,42.6452053396
4,0.038167938931,2,HOURLY,24,175,DEC,47.8368968392,0.5991293231,0.0125244187,47.2377675160,107.3272019258,107.3272019258,10107.7869274093,5.6464582654,42.6452053396
4,0.038167938931,2,HOURLY,24,349,INC,0.5985701251,0.4382634814,0.7321840215,0.1603066437,99.1685789807,106.7286318007,13012.9446683188,5.0478881403,37.9002783396
4,0.038167938931,2,HOURLY,24,349,DEC,45.7272643879,0.0000000000,0.0000000000,45.7272643879,99.1685789807,106.7286318007,13012.9446683188,5.0478881403,37.9002783396
4,0.038167938931,2,HOURLY,24,523,INC,0.5985701251,0.0000000000,0.0000000000,0.5985701251,50.9774128838,75.4896688491,14187.9718104924,0.0000000000,0.0000000000
4,0.038167938931,2,HOURLY,24,523,DEC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,50.9774128838,75.4896688491,14187.9718104924,0.0000000000,0.0000000000
