scenario,case,duration,start,direction,envelope,deltaP_MW,baseline_window_avg_MW,activated_window_avg_MW,grid_import_MWh,grid_export_MWh,res_used_MWh,h2_min_kg,h2_max_kg,monthly_margin_MWh,weekly_min_margin_MWh,hourly_min_margin_MW
3,1,12,1,INC,PHYS,0.59857013,90.04111590,107.32720193,34211.12164457,0.00000000,37008.44010974,2409.00000000,24090.00000000,-30430.25318851,-10671.44758712,-101.68074366
3,1,12,1,INC,RM,0.59857013,90.04111590,107.22744024,11872.30508182,8091.43662709,67352.84582264,2409.00000000,24884.16319145,-0.00000005,-4222.82883983,-101.68074366
3,1,12,1,DEC,PHYS,46.50811950,90.04111590,2.44416134,31009.82499703,0.00000000,40186.58698153,2408.99999950,24090.00000000,-27228.95654235,-8803.67811561,-101.68074366
3,1,12,1,DEC,RM,46.50811950,90.04111590,2.94296978,26560.98216635,26414.76375669,71060.35156000,2408.99999918,24090.00000000,3634.65004507,-5241.69576962,-101.68074369
3,1,12,169,INC,PHYS,0.00000000,100.05046462,105.87466358,28673.16425169,9121.51130666,51698.28185210,2409.00000000,47816.66679484,-15770.78449093,-8267.58364630,-101.68074373
3,1,12,169,INC,RM,0.00000000,100.05046462,105.87466358,18021.91923978,14793.94385726,67972.66466716,2409.00000000,47816.66679484,552.89307221,-3427.06606198,-101.68074366
3,1,12,169,DEC,PHYS,75.92823950,100.05046462,2.94296978,30146.19189627,9121.51130666,50199.71322519,2409.00000000,47816.66679484,-17243.81213487,-8745.98056664,-101.68074366
3,1,12,169,DEC,RM,75.92823950,100.05046462,7.34785838,19905.36742317,16677.39204067,67984.04645314,2408.99999950,47816.66679484,552.89307221,-4288.97181783,-101.68074366
3,1,12,337,INC,PHYS,38.31904193,45.60609960,102.96958687,29942.10935964,13240.19480285,54333.46871282,2409.00000000,35302.64187215,-12921.04610207,-7721.97043366,-101.68074367
3,1,12,337,INC,RM,38.31904193,45.60609960,107.12767855,24064.10311078,17472.81190888,64470.22164758,2409.00000000,36699.27747000,-2810.42274724,-4089.17371070,-101.68074367
3,1,12,337,DEC,PHYS,41.08435906,45.60609960,2.39428050,29421.97774079,13239.88883687,54882.96245494,2409.00000000,35302.64187215,-12401.22044926,-7449.16251403,-101.68074367
3,1,12,337,DEC,RM,41.08435906,45.60609960,2.39428050,22939.48152075,16348.19031885,64507.20176938,2409.00000000,35302.64187215,-2810.42274724,-3316.58899386,-101.68074367
3,1,12,505,INC,PHYS,0.00000000,97.92003763,98.19159129,27796.76851785,9902.36607893,53388.93565426,2408.99999901,38538.40141356,-14113.53398419,-8749.44943995,-101.68074371
3,1,12,505,INC,RM,0.00000000,97.92003763,106.09091160,27985.04921825,10572.39809572,53609.67734023,2408.99999959,24090.00000000,-13631.78266789,-8478.66376258,-101.68074367
3,1,12,505,DEC,PHYS,71.29520854,97.92003763,21.95775245,29430.87674388,9720.07387083,51439.28985861,2408.99999901,24090.00000000,-15929.93441836,-8550.42281244,-101.68074369
3,1,12,505,DEC,RM,71.29520854,97.92003763,22.91085584,11452.74391819,10488.73244253,70212.85000347,2408.99999901,24090.00000000,2816.85697893,-3256.08081795,-101.68074369
3,1,12,673,INC,PHYS,0.00000000,97.53244911,107.07779771,28519.87854515,2836.73127962,45419.90784631,2409.00000000,26297.20022492,-21902.27881080,-8800.57699026,-101.68074366
3,1,12,673,INC,RM,0.00000000,97.53244911,107.12767855,30974.28305978,3021.32224119,43075.74156916,2408.99999939,24090.00000000,-24172.09236386,-9575.49803218,-101.68074370
3,1,12,673,DEC,PHYS,19.21259228,97.53244911,78.31985683,31771.65308406,2642.76880575,41851.27396326,2408.99999939,24090.00000000,-25348.01582378,-9681.74120495,-101.68074370
3,1,12,673,DEC,RM,19.21259228,97.53244911,78.31985683,32598.02204578,2803.00095487,41191.09819234,2409.00000000,24090.00000000,-26014.15263688,-9690.65908855,-101.68074372
