case,case_name,scenario,probability,hours,cost_USD,grid_import_MWh,grid_export_MWh,res_used_MWh,res_curt_MWh,p2a_MWh,el_stack_MWh,matched_MWh,nh3_kg,h2_min_kg,h2_max_kg,monthly_margin_MWh,weekly_min_margin_MWh,hourly_min_margin_MW,simul_imp_exp_hours,imp_with_curt_hours
3,HOURLY,2,0.0833333333,672,0.0000000000,0.0000000000,0.0000000000,63937.8014372578,49799.2970827423,63937.8014372578,56299.3974232496,60522.8234781455,5982189.8794559939,20830.7277175210,28720.7864557885,3414.9779591115,832.8131242791,3.6362104317,0,0
3,HOURLY,3,0.0833333333,744,64681.0798794881,1078.0179979915,0.0000000000,70110.5247143771,29536.7873256227,71188.5427123686,62731.7382682883,67407.6742576378,6623138.7951120036,2418.2024917477,48180.0000000000,2702.8504567392,303.5279129251,-0.0000000000,0,0
3,HOURLY,4,0.0833333333,720,30996.8142831749,516.6135713862,0.0000000000,68210.3480341401,22078.0339258596,68726.9616055264,60542.9573048037,65068.0566493353,6409489.1565600010,15478.4141172717,32556.2132099231,3142.2913848047,189.5075730870,-0.0000000000,0,0
3,HOURLY,5,0.0833333333,744,0.0000000000,0.0000000000,0.0000000000,70748.4954376514,62525.3094423489,70748.4954376514,62291.6909935705,66967.6269829197,6623138.7951119971,19145.2841897003,25403.9715008747,3780.8684547306,369.0370626606,3.5745847413,0,0
3,HOURLY,6,0.0833333333,720,0.0000000000,0.0000000000,0.0000000000,68427.3843605646,71170.9288794357,68427.3843605646,60243.3800598411,64768.4794043724,6409489.1565599982,20897.2440157834,27341.9905496161,3658.9049561909,245.4789497321,3.6053975865,0,0
3,HOURLY,7,0.0833333333,744,0.0000000000,0.0000000000,0.0000000000,70693.9864370279,99879.9073229724,70693.9864370279,62237.1819929467,66913.1179822958,6623138.7951120036,22663.1363427775,26667.0799378257,3780.8684547306,367.4584402573,4.2495505674,0,0
3,HOURLY,8,0.0833333333,744,0.0000000000,0.0000000000,0.0000000000,70707.2241681614,111090.1173118389,70707.2241681614,62250.4197240802,66926.3557134294,6623138.7951120082,22140.4170070620,27109.3228804370,3780.8684547306,368.2638240766,3.9113454281,0,0
3,HOURLY,9,0.0833333333,720,0.0000000000,0.0000000000,0.0000000000,68410.9143986666,136180.8974413338,68410.9143986666,60226.9100979429,64752.0094424742,6409489.1565600010,22106.1809708164,25226.4989879415,3658.9049561909,242.5894676183,4.6522872100,0,0
3,HOURLY,10,0.0833333333,744,0.0000000000,0.0000000000,0.0000000000,70691.5737978818,148658.9430421186,70691.5737978818,62234.7693538006,66910.7053431497,6623138.7951120045,23329.3950792106,26820.4485818019,3780.8684547306,366.7702852188,4.5299781003,0,0
3,HOURLY,11,0.0833333333,720,0.0000000000,0.0000000000,0.0000000000,68417.2293046320,112935.0356153684,68417.2293046320,60233.2250039083,64758.3243484396,6409489.1565600084,23015.1235884286,27075.1837435484,3658.9049561909,248.1274850974,4.0345263849,0,0
3,HOURLY,12,0.0833333333,744,0.0000000000,0.0000000000,0.0000000000,70694.6008510255,97439.1429089749,70694.6008510255,62237.7964069443,66913.7323962934,6623138.7951119989,22385.1444173555,25423.7401979335,3780.8684547306,366.2430176343,3.9880761033,0,0
